# Copyright (C) 1991-2024 Intel Corporation. All rights reserved.,,,,,,,,,,,
# Your use of Altera Corporation's design tools, logic functions ,,,,,,,,,,
# and other software and tools, and its AMPP partner logic ,,,,,,,,,,
# functions, and any output files from any of the foregoing ,,,,,,,,,,
# (including device programming or simulation files), and any ,,,,,,,,,,
# associated documentation or information are expressly subject ,,,,,,,,,,,
# to the terms and conditions of the Altera Program License ,,,,,,,,,,,
# Subscription Agreement, the Altera Quartus Prime License Agreement,,,,,,,,,,
# the Altera MegaCore Function License Agreement, or other ,,,,,,,,,,
# applicable license agreement, including, without limitation, ,,,,,,,,
# that your use is for the sole purpose of programming logic ,,,,,,,,,,,
# devices manufactured by Altera and sold by Altera or its ,,,,,,,,,,,
# authorized distributors.  Please refer to the applicable ,,,,,,,,,,,
# agreement for further details.,,,,,,,,,,,
,,,,,,,,,,,
# Quartus Prime Version 15.1.0 Build 185 10/21/2015 SJ Standard Edition,,,,,,,,,,,
# File: F:\lab8\lab8.csv,,,,,,,,,,,
# Generated on: Thu Apr 14 11:13:11 2016,,,,,,,,,,,
,,,,,,,,,,,
# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.,,,,,,,,,,,
,,,,,,,,,,,
To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
CLOCK_50,Input,PIN_Y2,2,B2_N0,PIN_Y2,2.5 V,,,,,
EXT_SW,Input,PIN_AC19,4,B4_N0,PIN_AC19,2.5 V,,,,,
HEX0[6],Output,PIN_H22,6,B6_N0,PIN_H22,2.5 V,,,,,
HEX0[5],Output,PIN_J22,6,B6_N0,PIN_J22,2.5 V,,,,,
HEX0[4],Output,PIN_L25,6,B6_N1,PIN_L25,2.5 V,,,,,
HEX0[3],Output,PIN_L26,6,B6_N1,PIN_L26,2.5 V,,,,,
HEX0[2],Output,PIN_E17,7,B7_N2,PIN_E17,2.5 V,,,,,
HEX0[1],Output,PIN_F22,7,B7_N0,PIN_F22,2.5 V,,,,,
HEX0[0],Output,PIN_G18,7,B7_N2,PIN_G18,2.5 V,,,,,
HEX1[6],Output,PIN_U24,5,B5_N0,PIN_U24,2.5 V,,,,,
HEX1[5],Output,PIN_U23,5,B5_N1,PIN_U23,2.5 V,,,,,
HEX1[4],Output,PIN_W25,5,B5_N1,PIN_W25,2.5 V,,,,,
HEX1[3],Output,PIN_W22,5,B5_N0,PIN_W22,2.5 V,,,,,
HEX1[2],Output,PIN_W21,5,B5_N1,PIN_W21,2.5 V,,,,,
HEX1[1],Output,PIN_Y22,5,B5_N0,PIN_Y22,2.5 V,,,,,
HEX1[0],Output,PIN_M24,6,B6_N2,PIN_M24,2.5 V,,,,,
KEY[3],Input,PIN_R24,5,B5_N0,PIN_R24,2.5 V,,,,,
KEY[2],Input,PIN_N21,6,B6_N2,PIN_N21,2.5 V,,,,,
KEY[1],Input,PIN_M21,6,B6_N1,PIN_M21,2.5 V,,,,,
KEY[0],Input,PIN_M23,6,B6_N2,PIN_M23,2.5 V,,,,,
LCD_BLON,Output,PIN_L6,1,B1_N2,PIN_L6,2.5 V,,,,,
LCD_DATA[7],Output,PIN_M5,1,B1_N2,PIN_M5,2.5 V,,,,,
LCD_DATA[6],Output,PIN_M3,1,B1_N1,PIN_M3,2.5 V,,,,,
LCD_DATA[5],Output,PIN_K2,1,B1_N1,PIN_K2,2.5 V,,,,,
LCD_DATA[4],Output,PIN_K1,1,B1_N1,PIN_K1,2.5 V,,,,,
LCD_DATA[3],Output,PIN_K7,1,B1_N1,PIN_K7,2.5 V,,,,,
LCD_DATA[2],Output,PIN_L2,1,B1_N2,PIN_L2,2.5 V,,,,,
LCD_DATA[1],Output,PIN_L1,1,B1_N2,PIN_L1,2.5 V,,,,,
LCD_DATA[0],Output,PIN_L3,1,B1_N1,PIN_L3,2.5 V,,,,,
LCD_EN,Output,PIN_L4,1,B1_N1,PIN_L4,2.5 V,,,,,
LCD_ON,Output,PIN_L5,1,B1_N1,PIN_L5,2.5 V,,,,,
LCD_RS,Output,PIN_M2,1,B1_N2,PIN_M2,2.5 V,,,,,
LCD_RW,Output,PIN_M1,1,B1_N2,PIN_M1,2.5 V,,,,,
LEDG[7],Output,PIN_G21,7,B7_N1,PIN_G21,2.5 V,,,,,
LEDG[6],Output,PIN_G22,7,B7_N2,PIN_G22,2.5 V,,,,,
LEDG[5],Output,PIN_G20,7,B7_N1,PIN_G20,2.5 V,,,,,
LEDG[4],Output,PIN_H21,7,B7_N2,PIN_H21,2.5 V,,,,,
LEDG[3],Output,PIN_E24,7,B7_N1,PIN_E24,2.5 V,,,,,
LEDG[2],Output,PIN_E25,7,B7_N1,PIN_E25,2.5 V,,,,,
LEDG[1],Output,PIN_E22,7,B7_N0,PIN_E22,2.5 V,,,,,
LEDG[0],Output,PIN_E21,7,B7_N0,PIN_E21,2.5 V,,,,,
LEDR[7],Output,PIN_H19,7,B7_N2,PIN_H19,2.5 V,,,,,
LEDR[6],Output,PIN_J19,7,B7_N2,PIN_J19,2.5 V,,,,,
LEDR[5],Output,PIN_E18,7,B7_N1,PIN_E18,2.5 V,,,,,
LEDR[4],Output,PIN_F18,7,B7_N1,PIN_F18,2.5 V,,,,,
LEDR[3],Output,PIN_F21,7,B7_N0,PIN_F21,2.5 V,,,,,
LEDR[2],Output,PIN_E19,7,B7_N0,PIN_E19,2.5 V,,,,,
LEDR[1],Output,PIN_F19,7,B7_N0,PIN_F19,2.5 V,,,,,
LEDR[0],Output,PIN_G19,7,B7_N2,PIN_G19,2.5 V,,,,,
VGA_B[7],Output,PIN_D12,8,B8_N0,PIN_D12,2.5 V,,,,,
VGA_B[6],Output,PIN_D11,8,B8_N1,PIN_D11,2.5 V,,,,,
VGA_B[5],Output,PIN_C12,8,B8_N0,PIN_C12,2.5 V,,,,,
VGA_B[4],Output,PIN_A11,8,B8_N0,PIN_A11,2.5 V,,,,,
VGA_B[3],Output,PIN_B11,8,B8_N0,PIN_B11,2.5 V,,,,,
VGA_B[2],Output,PIN_C11,8,B8_N1,PIN_C11,2.5 V,,,,,
VGA_B[1],Output,PIN_A10,8,B8_N0,PIN_A10,2.5 V,,,,,
VGA_B[0],Output,PIN_B10,8,B8_N0,PIN_B10,2.5 V,,,,,
VGA_BLANK,Output,PIN_F11,8,B8_N1,PIN_F11,2.5 V,,,,,
VGA_CLK,Output,PIN_A12,8,B8_N0,PIN_A12,2.5 V,,,,,
VGA_G[7],Output,PIN_C9,8,B8_N1,PIN_C9,2.5 V,,,,,
VGA_G[6],Output,PIN_F10,8,B8_N1,PIN_F10,2.5 V,,,,,
VGA_G[5],Output,PIN_B8,8,B8_N1,PIN_B8,2.5 V,,,,,
VGA_G[4],Output,PIN_C8,8,B8_N1,PIN_C8,2.5 V,,,,,
VGA_G[3],Output,PIN_H12,8,B8_N1,PIN_H12,2.5 V,,,,,
VGA_G[2],Output,PIN_F8,8,B8_N2,PIN_F8,2.5 V,,,,,
VGA_G[1],Output,PIN_G11,8,B8_N1,PIN_G11,2.5 V,,,,,
VGA_G[0],Output,PIN_G8,8,B8_N2,PIN_G8,2.5 V,,,,,
VGA_HS,Output,PIN_G13,8,B8_N0,PIN_G13,2.5 V,,,,,
VGA_R[7],Output,PIN_H10,8,B8_N1,PIN_H10,2.5 V,,,,,
VGA_R[6],Output,PIN_H8,8,B8_N2,PIN_H8,2.5 V,,,,,
VGA_R[5],Output,PIN_J12,8,B8_N0,PIN_J12,2.5 V,,,,,
VGA_R[4],Output,PIN_G10,8,B8_N1,PIN_G10,2.5 V,,,,,
VGA_R[3],Output,PIN_F12,8,B8_N1,PIN_F12,2.5 V,,,,,
VGA_R[2],Output,PIN_D10,8,B8_N1,PIN_D10,2.5 V,,,,,
VGA_R[1],Output,PIN_E11,8,B8_N1,PIN_E11,2.5 V,,,,,
VGA_R[0],Output,PIN_E12,8,B8_N1,PIN_E12,2.5 V,,,,,
VGA_SYNC,Output,PIN_C10,8,B8_N0,PIN_C10,2.5 V,,,,,
VGA_VS,Output,PIN_C13,8,B8_N0,PIN_C13,2.5 V,,,,,
